날짜,코로나,홈까페,커피머신
2021-05-24,3.09604,19.04761,29.31361
2021-05-25,2.97929,100.0,29.79115
2021-05-26,3.51171,22.22222,29.61854
2021-05-27,3.00159,15.87301,33.45031
2021-05-28,2.70475,20.63492,28.59444
2021-05-29,2.11569,24.86772,28.33553
2021-05-30,2.16303,27.51322,32.65059
2021-05-31,3.18032,19.04761,28.81307
2021-06-01,3.25057,23.80952,28.55992
2021-06-02,3.1357,21.16402,27.84074
2021-06-03,3.20099,33.33333,29.33663
2021-06-04,2.89917,21.16402,25.63143
2021-06-05,2.42932,19.57671,25.64294
2021-06-06,2.19499,24.33862,31.32155
2021-06-07,2.88025,16.93121,30.68292
2021-06-08,2.75605,12.69841,31.09142
2021-06-09,3.107,17.98941,27.40923
2021-06-10,2.87453,23.80952,28.31827
2021-06-11,2.71966,18.51851,26.73609
2021-06-12,1.94464,17.98941,25.92486
2021-06-13,1.92835,25.39682,29.71635
2021-06-14,2.76041,17.46031,28.76704
2021-06-15,2.98104,21.69312,29.99252
2021-06-16,2.85005,9.5238,27.29992
2021-06-17,2.60546,10.05291,27.84074
2021-06-18,2.45127,16.40211,25.16541
